# Source: AutoEq targets/Diffuse field 5128.csv (MIT)
frequency,magnitudeDB
20,-4.25
20.61,-4.25
21.23,-4.25
21.87,-4.25
22.54,-4.24
23.22,-4.24
23.92,-4.24
24.65,-4.24
25.39,-4.23
26.16,-4.23
26.96,-4.22
27.5,-4.22
28.33,-4.21
29.19,-4.21
30.08,-4.2
30.99,-4.2
31.93,-4.19
32.89,-4.19
33.89,-4.18
34.92,-4.18
35.97,-4.17
36.7,-4.17
37.81,-4.16
38.95,-4.16
40.14,-4.15
41.35,-4.14
42.6,-4.13
43.9,-4.13
45.23,-4.12
46.6,-4.12
48.01,-4.11
48.97,-4.1
50.46,-4.09
51.99,-4.09
53.56,-4.08
55.18,-4.08
56.86,-4.07
58.58,-4.06
60.35,-4.05
62.18,-4.05
64.07,-4.04
66.01,-4.03
67.33,-4.02
69.37,-4.01
71.48,-4
73.64,-4
75.87,-3.99
78.17,-3.98
80.54,-3.97
82.98,-3.96
85.5,-3.95
88.09,-3.94
89.86,-3.94
92.58,-3.92
95.39,-3.91
98.28,-3.9
101.25,-3.89
104.32,-3.88
107.48,-3.87
110.74,-3.85
114.1,-3.84
117.55,-3.83
119.92,-3.82
123.55,-3.8
127.29,-3.78
131.15,-3.77
135.12,-3.75
139.22,-3.74
143.44,-3.72
147.78,-3.7
152.26,-3.69
156.88,-3.67
160.03,-3.65
164.88,-3.63
169.87,-3.61
175.02,-3.58
180.32,-3.55
185.79,-3.53
191.42,-3.51
197.22,-3.48
203.19,-3.45
209.35,-3.42
215.69,-3.39
220.03,-3.36
226.7,-3.33
233.57,-3.3
240.64,-3.26
247.93,-3.22
255.45,-3.19
263.19,-3.14
271.16,-3.1
279.38,-3.06
287.84,-3.02
293.63,-2.99
302.53,-2.95
311.69,-2.89
321.14,-2.84
330.87,-2.79
340.9,-2.74
351.23,-2.69
361.87,-2.64
372.83,-2.58
384.13,-2.52
391.85,-2.48
403.72,-2.42
415.96,-2.35
428.56,-2.28
441.55,-2.21
454.93,-2.13
468.71,-2.04
482.91,-1.95
497.55,-1.86
512.62,-1.76
522.93,-1.7
538.77,-1.59
555.1,-1.47
571.92,-1.35
589.25,-1.24
607.1,-1.1
625.5,-0.93
644.45,-0.8
663.98,-0.68
684.1,-0.55
704.83,-0.41
718.99,-0.33
740.78,-0.21
763.23,-0.13
786.35,-0.06
810.18,-0.02
834.73,0
860.02,-0.01
886.08,-0.05
912.93,-0.09
940.59,-0.12
959.5,-0.1
988.57,-0.03
1018.53,0.11
1049.39,0.28
1081.19,0.52
1113.95,0.79
1147.7,1.04
1182.48,1.29
1218.31,1.45
1255.22,1.6
1280.45,1.66
1319.25,1.75
1359.23,1.83
1400.41,1.92
1442.85,2.14
1486.57,2.36
1531.61,2.74
1578.02,3.2
1625.84,3.62
1675.1,4.02
1708.77,4.25
1760.55,4.45
1813.9,4.66
1868.86,4.9
1925.49,5.25
1983.83,5.72
2043.94,6.24
2105.88,6.78
2169.69,7.27
2235.43,7.74
2303.17,8.27
2349.46,8.62
2420.65,9.28
2494,9.96
2569.57,10.49
2647.43,11
2727.65,11.43
2810.3,11.84
2895.46,12.11
2983.19,12.37
3073.58,12.21
3135.36,12.04
3230.37,11.9
3328.25,11.79
3429.1,11.48
3533.01,11.12
3640.06,10.91
3750.36,10.71
3864,10.42
3981.08,10.13
4101.71,10.04
4184.15,10
4310.94,9.81
4441.56,9.49
4576.15,9.38
4714.81,9.45
4857.67,9.29
5004.87,9.05
5156.52,8.99
5312.77,8.92
5473.75,8.84
5583.77,8.78
5752.96,8.52
5927.28,8.23
6106.89,7.91
6291.93,7.57
6482.58,7.49
6679.01,7.43
6881.39,7.59
7089.91,7.78
7304.74,8
7526.08,8.21
7677.35,8.29
7909.98,8.41
8149.67,8.27
8396.61,7.97
8651.03,6.91
8913.17,5.34
9183.25,4.19
9461.51,3.25
9748.2,3.76
10043.58,4.49
10245.46,5
10555.91,5.75
10875.76,4.62
11205.31,3.2
11544.84,2.37
11894.66,1.68
12255.08,1.36
12626.42,1.14
13009.01,1.12
13403.2,1.06
13672.6,0.98
14086.9,0.67
14513.74,-0.36
14953.52,-1.4
15406.63,-0.9
15873.47,-0.23
16354.45,-0.43
16850.01,-0.93
17360.58,-1.8
17886.62,-2.83
18246.14,-3
18799.02,-2.92
19368.65,-3.84
19955.54,-5.31

