# Source: PublicGraphTool data/targets/KEMAR DF Target.txt (MIT)
frequency,magnitudeDB
20,0.466
20.73522,0.469
21.189262,0.471
21.968201,0.475
22.449242,0.478
23.107054,0.482
23.956491,0.486
24.481071,0.489
25.198421,0.492
26.124741,0.496
26.890253,0.5
27.479073,0.503
28.489231,0.509
29.113064,0.513
30.183289,0.517
30.844217,0.521
31.978081,0.528
32.67831,0.532
33.635857,0.537
34.621464,0.541
35.89418,0.548
36.945961,0.554
37.754974,0.558
38.861279,0.563
40,0.568
41.47044,0.576
42.378525,0.58
43.936401,0.588
44.898483,0.592
46.214108,0.599
47.912983,0.607
48.962143,0.612
50.396843,0.618
52.249481,0.626
53.780506,0.633
55.356396,0.639
56.978462,0.646
58.226128,0.65
60.366577,0.659
61.688435,0.665
63.956161,0.674
65.356621,0.678
67.759193,0.687
69.242928,0.692
71.788361,0.702
73.891922,0.71
75.509949,0.715
77.722557,0.723
80,0.731
82.94088,0.742
84.75705,0.748
87.872803,0.76
89.796967,0.767
93.097992,0.778
95.825966,0.789
97.924286,0.799
100.793686,0.811
104.498962,0.825
107.561012,0.84
110.712791,0.856
113.137085,0.869
116.452255,0.892
120.733154,0.952
123.376869,1.001
127.912323,1.091
130.713242,1.139
134.543427,1.187
138.485855,1.204
143.576721,1.179
147.783844,1.133
151.019897,1.093
155.445114,1.046
160,1.017
165.88176,1.013
169.514099,1.026
175.745605,1.065
179.593933,1.094
186.195984,1.14
191.651932,1.169
195.848572,1.179
201.587372,1.173
208.997925,1.133
215.122025,1.089
221.425583,1.069
226.27417,1.086
232.90451,1.162
241.466309,1.309
246.753738,1.392
255.824646,1.483
261.426483,1.506
269.086853,1.518
276.97171,1.526
287.153442,1.543
295.567688,1.572
302.039795,1.607
310.890228,1.677
320,1.772
331.763519,1.91
339.028198,1.996
351.491211,2.125
359.187866,2.182
372.391968,2.231
383.303864,2.245
391.697144,2.264
403.174744,2.327
417.99585,2.465
430.244049,2.585
442.851166,2.683
452.54834,2.752
465.809021,2.869
482.932617,3.072
493.507477,3.208
511.649292,3.396
522.852966,3.468
538.173706,3.531
553.94342,3.591
574.306885,3.706
591.135376,3.824
604.07959,3.905
621.780457,3.982
640,4.029
663.527039,4.094
678.056396,4.156
702.982422,4.289
718.375732,4.377
744.783936,4.536
766.607727,4.671
783.394287,4.765
806.349487,4.839
835.991699,4.801
860.488098,4.704
885.702332,4.633
905.09668,4.631
931.618042,4.692
965.865234,4.834
987.014954,4.94
1023.298584,5.121
1045.705933,5.225
1076.347412,5.371
1107.886841,5.548
1148.61377,5.797
1182.270752,5.984
1208.15918,6.109
1243.560913,6.271
1280,6.441
1327.054077,6.678
1356.112793,6.837
1405.964844,7.152
1436.751465,7.386
1489.567871,7.877
1533.215454,8.355
1566.788574,8.748
1612.698975,9.298
1671.983398,10.001
1720.976196,10.562
1771.404663,11.105
1823.310791,11.614
1863.236084,11.966
1931.730469,12.503
1974.029907,12.815
2046.597168,13.364
2091.411865,13.717
2152.694824,14.192
2215.773682,14.634
2297.227539,15.114
2364.541504,15.459
2416.318359,15.71
2487.121826,16.028
2560,16.29
2654.108154,16.477
2712.225586,16.514
2811.929688,16.486
2873.50293,16.431
2979.135742,16.292
3066.430908,16.163
3133.577148,16.071
3225.397949,15.95
3343.966797,15.776
3441.952393,15.614
3542.809326,15.443
3646.621582,15.25
3726.472168,15.078
3863.460938,14.743
3948.059814,14.531
4093.194336,14.174
4182.82373,13.946
4305.389648,13.606
4431.547363,13.235
4594.455078,12.776
4729.083008,12.458
4832.636719,12.256
4974.243652,12.014
5120,11.783
5308.216309,11.485
5424.451172,11.298
5623.859375,10.98
5747.005859,10.795
5958.271484,10.514
6132.861816,10.314
6267.154297,10.162
6450.795898,9.923
6687.933594,9.536
6883.904785,9.188
7085.618652,8.917
7293.243164,8.889
7452.944336,9.108
7726.921875,9.861
7896.119629,10.389
8186.388672,11.045
8365.647461,11.193
8610.779297,11.069
8863.094727,10.646
9188.910156,9.927
9458.166016,9.39
9665.273438,9.028
9948.487305,8.514
10240,7.887
10616.432617,7.062
10848.902344,6.701
11247.71875,6.541
11494.011719,6.633
11916.542969,6.754
12265.723633,6.645
12534.308594,6.425
12901.591797,5.989
13375.867188,5.329
13767.80957,4.788
14171.237305,4.254
14586.486328,3.716
14905.888672,3.303
15453.84375,2.591
15792.239258,2.149
16372.777344,1.39
16731.294922,0.923
17221.558594,0.291
17726.189453,-0.337
18377.820312,-1.049
18916.332031,-1.459
19330.546875,-1.621
19896.974609,-1.685
19896.974609,-1.685

