# Source: PublicGraphTool data/targets/Etymotic Target.txt (MIT)
frequency,magnitudeDB
20.1,60
20.6,60
21.2,60
21.9,60
22.5,60
23.2,60
23.8,60
24.5,60
25.3,60
26,60
26.8,60
27.5,60
28.4,60
29.2,60
30,60
30.9,60
31.8,60
32.8,60
33.7,60
34.7,60
35.7,60
36.8,60
37.9,60
39,60
40.1,60
41.3,60
42.5,60
43.7,60
45,60
46.3,60
47.7,60
49.1,60
50.5,60
52,60
53.5,60
55.1,60
56.7,60
58.4,60
60.1,60
61.8,60
63.7,60
65.5,60
67.4,60
69.4,60
71.5,60
73.5,60
75.7,60
77.9,60
80.2,60
82.6,60
85,60
87.5,60
90,60
92.7,60
95.4,60
98.2,60
101,60
104,60
107,60
110,60
115,60
117,60
120,60
124,60
127,60
131,60
135,60
139,60
143,60
147,60
154,60
156,60
160,60
165,60
170,60
175,60.0902
180,60.1
185,60.1
191,60.1
196,60.1
202,60.1
208,60.1
214,60.111
220,60.2
227,60.2
234,60.2
240,60.2
247,60.2
255,60.3
262,60.3
270,60.3
278,60.3
286,60.3
294,60.3
303,60.3
312,60.3863
321,60.4
330,60.5
340,60.5504
350,60.6
360,60.7
371,60.7233
382,60.8
393,60.9
404,60.9
416,60.9748
428,61
441,61
454,61.1
467,61.1
481,61.128
495,61.2
509,61.2
524,61.3
540,61.3
555,61.4
572,61.4655
588,61.5
606,61.6
623,61.7
642,61.7234
660,61.8051
680,61.9011
700,62.0913
720,62.1762
741,62.2649
763,62.357
785,62.4436
808,62.5332
832,62.6254
856,62.7121
882,62.8086
907,62.9
934,63.0847
961,63.1717
990,63.3
1019,63.4564
1048,63.5406
1079,63.7
1111,63.8239
1143,64
1177,64.1029
1211,64.2897
1247,64.3821
1283,64.5688
1321,64.7604
1360,64.9514
1399,65.137
1440,65.3534
1483,65.6199
1526,65.8153
1571,66.0985
1617,66.3879
1664,66.7518
1713,67.1328
1763,67.4105
1815,67.7922
1868,68.1702
1923,68.6512
1979,69.0282
2037,69.5076
2097,69.9832
2158,70.4477
2221,70.9429
2287,71.4273
2354,71.8596
2423,72.2429
2494,72.5325
2567,72.7
2642,72.8
2719,72.8
2799,72.8
2881,72.7205
2965,72.5318
3052,72.342
3142,72.1512
3234,71.9234
3328,71.6472
3426,71.366
3526,70.9941
3630,70.7064
3736,70.3287
3846,69.9477
3958,69.6709
4074,69.2916
4194,68.9552
4316,68.634
4443,68.2531
4573,67.9743
4707,67.5975
4845,67.3157
4987,67.0365
5133,66.7577
5284,66.4771
5438,66.1999
5598,65.9596
5762,65.67
5931,65.3801
6104,65.2
6283,65.1015
6467,64.9121
6657,64.8221
6852,64.6325
7053,64.5428
7259,64.3538
7472,64.1639
7691,63.9742
7916,63.7849
8148,63.4952
8387,63.2107
8633,62.9313
8886,62.6521
9146,62.3367
9414,62.0471
9690,61.7149
9974,61.4356
10266,61.1566
10567,60.8771
10877,60.4986
11196,60.2178
11524,59.8388
11861,59.5604
12209,59.2404
12567,58.9507
12935,58.6612
13314,58.3431
13704,58.064
14105,57.7926
14519,57.5052
14944,57.2266
15382,56.9474
15833,56.634
16297,56.2888
16774,55.955
17266,55.6304
17772,55.351
18293,54.9716
18829,54.5961
19380,54.3136
20000,53.9

