# Source: AutoEq targets/Harman in-ear 2019.csv (MIT)
frequency,magnitudeDB
20,7.61
20.61,7.64
21.23,7.66
21.87,7.68
22.54,7.69
23.22,7.7
23.92,7.71
24.65,7.72
25.39,7.72
26.16,7.72
26.96,7.72
27.5,7.72
28.33,7.72
29.19,7.72
30.08,7.72
30.99,7.71
31.93,7.69
32.89,7.68
33.89,7.66
34.92,7.63
35.97,7.6
36.7,7.57
37.81,7.52
38.95,7.47
40.14,7.41
41.35,7.34
42.6,7.26
43.9,7.17
45.23,7.08
46.6,6.96
48.01,6.84
48.97,6.75
50.46,6.62
51.99,6.49
53.56,6.36
55.18,6.21
56.86,6.08
58.58,5.95
60.35,5.81
62.18,5.62
64.07,5.45
66.01,5.3
67.33,5.19
69.37,5.02
71.48,4.84
73.64,4.65
75.87,4.48
78.17,4.31
80.54,4.15
82.98,3.98
85.5,3.8
88.09,3.63
89.86,3.51
92.58,3.32
95.39,3.13
98.28,2.93
101.25,2.74
104.32,2.56
107.48,2.38
110.74,2.2
114.1,2.01
117.55,1.81
119.92,1.68
123.55,1.51
127.29,1.33
131.15,1.14
135.12,0.96
139.22,0.79
143.44,0.64
147.78,0.5
152.26,0.36
156.88,0.21
160.03,0.11
164.88,-0.04
169.87,-0.19
175.02,-0.34
180.32,-0.49
185.79,-0.63
191.42,-0.77
197.22,-0.91
203.19,-1.03
209.35,-1.14
215.69,-1.23
220.03,-1.3
226.7,-1.38
233.57,-1.45
240.64,-1.51
247.93,-1.57
255.45,-1.61
263.19,-1.64
271.16,-1.67
279.38,-1.7
287.84,-1.7
293.63,-1.71
302.53,-1.71
311.69,-1.71
321.14,-1.71
330.87,-1.7
340.9,-1.69
351.23,-1.68
361.87,-1.66
372.83,-1.64
384.13,-1.63
391.85,-1.61
403.72,-1.59
415.96,-1.57
428.56,-1.55
441.55,-1.53
454.93,-1.5
468.71,-1.47
482.91,-1.44
497.55,-1.41
512.62,-1.37
522.93,-1.35
538.77,-1.32
555.1,-1.27
571.92,-1.24
589.25,-1.21
607.1,-1.17
625.5,-1.11
644.45,-1.06
663.98,-1.02
684.1,-0.96
704.83,-0.9
718.99,-0.86
740.78,-0.8
763.23,-0.74
786.35,-0.68
810.18,-0.61
834.73,-0.54
860.02,-0.47
886.08,-0.39
912.93,-0.31
940.59,-0.21
959.5,-0.15
988.57,-0.04
1018.53,0.07
1049.39,0.18
1081.19,0.31
1113.95,0.45
1147.7,0.62
1182.48,0.79
1218.31,0.98
1255.22,1.17
1280.45,1.32
1319.25,1.55
1359.23,1.78
1400.41,2.02
1442.85,2.25
1486.57,2.48
1531.61,2.74
1578.02,3.01
1625.84,3.29
1675.1,3.6
1708.77,3.81
1760.55,4.16
1813.9,4.52
1868.86,4.9
1925.49,5.29
1983.83,5.7
2043.94,6.07
2105.88,6.42
2169.69,6.78
2235.43,7.14
2303.17,7.48
2349.46,7.72
2420.65,8.01
2494,8.29
2569.57,8.52
2647.43,8.75
2727.65,8.93
2810.3,9.1
2895.46,9.2
2983.19,9.29
3073.58,9.36
3135.36,9.41
3230.37,9.42
3328.25,9.41
3429.1,9.37
3533.01,9.32
3640.06,9.23
3750.36,9.13
3864,9.02
3981.08,8.91
4101.71,8.77
4184.15,8.68
4310.94,8.54
4441.56,8.39
4576.15,8.23
4714.81,8.06
4857.67,7.89
5004.87,7.71
5156.52,7.57
5312.77,7.42
5473.75,7.25
5583.77,7.14
5752.96,6.99
5927.28,6.84
6106.89,6.63
6291.93,6.39
6482.58,6.14
6679.01,5.9
6881.39,5.58
7089.91,5.26
7304.74,4.85
7526.08,4.43
7677.35,4.16
7909.98,3.75
8149.67,3.28
8396.61,2.78
8651.03,2.25
8913.17,1.68
9183.25,1.08
9461.51,0.45
9748.2,-0.21
10043.58,-0.87
10245.46,-1.27
10555.91,-1.87
10875.76,-2.49
11205.31,-3.12
11544.84,-3.78
11894.66,-4.41
12255.08,-4.99
12626.42,-5.57
13009.01,-6.15
13403.2,-6.72
13672.6,-7.09
14086.9,-7.63
14513.74,-8.14
14953.52,-8.65
15406.63,-9.31
15873.47,-9.98
16354.45,-10.85
16850.01,-11.79
17360.58,-12.97
17886.62,-14.25
18246.14,-15.26
18799.02,-16.9
19368.65,-18.71
19955.54,-20.61

