# Source: PublicGraphTool data/targets/IEF Neutral 2023 Target.txt (MIT)
frequency,magnitudeDB
20,2.786
20.6,2.766
21.200001,2.771
22,2.768
22.700001,2.74
23.299999,2.744
24,2.744
24.700001,2.739
25.4,2.71
26.200001,2.716
26.9,2.716
27.6,2.713
28.5,2.682
29.5,2.689
30,2.689
31.1,2.685
32,2.659
33,2.662
34,2.659
35,2.648
36,2.633
37,2.634
38.200001,2.623
39.5,2.607
40,2.608
41.200001,2.606
42.5,2.581
43.700001,2.58
45,2.58
46.799999,2.553
48.200001,2.553
49.400002,2.552
50.799999,2.533
52.200001,2.526
53.799999,2.525
55.200001,2.51
57,2.499
59,2.498
60,2.479
62.200001,2.472
64,2.46
66,2.444
68,2.443
70,2.416
72,2.416
74,2.396
76.199997,2.39
78.800003,2.366
80,2.363
82.5,2.35
85,2.334
87.5,2.307
90,2.302
92.5,2.281
96.199997,2.252
98.800003,2.231
101.5,2.221
104.400002,2.197
107.5,2.158
110.599998,2.133
113.800003,2.103
117.199997,2.066
120.599998,2.034
124.099998,1.997
128,1.958
131.5,1.917
136,1.874
140,1.837
143,1.805
147.5,1.765
152.5,1.723
157.5,1.679
160,1.66
165,1.619
170,1.592
175,1.545
180,1.516
185,1.486
192.5,1.439
197.5,1.408
203,1.384
209,1.345
214,1.326
220,1.293
227,1.262
233,1.235
240,1.207
247,1.173
254,1.145
262,1.113
272,1.077
280,1.048
290,1.011
295,0.995
304,0.966
311,0.942
320,0.917
330,0.886
340,0.857
350,0.83
360,0.802
370,0.778
382,0.745
395,0.714
406,0.687
418,0.66
431,0.632
444,0.605
455,0.582
468,0.556
482,0.529
494,0.513
508,0.474
530,0.454
545,0.417
560,0.395
580,0.362
590,0.349
608,0.311
622,0.3
640,0.285
660,0.249
680,0.235
700,0.212
720,0.183
740,0.15
762,0.121
788,0.098
812,0.083
838,0.065
862,0.046
885,0.02
912,0.02
938,-0.008
962,-0.005
988,-0.004
1030,0.135
1060,0.275
1090,0.432
1120,0.64
1150,0.852
1180,1.061
1220,1.333
1250,1.524
1280,1.707
1320,1.927
1360,2.129
1400,2.316
1450,2.548
1500,2.764
1525,2.877
1575,3.095
1625,3.325
1675,3.571
1725,3.832
1775,4.076
1825,4.356
1875,4.657
1925,4.949
1975,5.243
2060,5.724
2120,6.046
2180,6.396
2240,6.641
2300,6.929
2360,7.202
2430,7.464
2500,7.69
2580,7.919
2650,8.085
2720,8.201
2800,8.296
2900,8.357
3000,8.364
3070,8.332
3150,8.271
3250,8.158
3350,8.026
3450,7.883
3550,7.746
3650,7.558
3750,7.361
3870,7.124
3950,6.96
4120,6.617
4250,6.361
4310,6.244
4440,5.996
4620,5.672
4750,5.459
4870,5.273
5000,5.09
5150,4.894
5300,4.652
5450,4.525
5600,4.326
5800,4.118
6000,3.851
6150,3.654
6300,3.466
6500,3.223
6700,2.989
6900,2.761
7100,2.548
7300,2.332
7500,2.129
7750,1.884
8000,1.653
8250,1.422
8380,1.304
8620,1.09
9000,0.76
9250,0.539
9500,0.32
9750,0.091
10000,-0.139
10300,-0.406
10600,-0.761
10900,-1.055
11200,-1.321
11500,-1.588
12060,-2.098
12200,-2.23
12650,-2.638
13150,-3.08
13400,-3.297
13800,-3.631
14300,-4.053
14500,-4.216
15000,-4.605
15500,-4.989
16000,-5.358
16500,-5.715
16750,-5.886
17250,-6.226
17750,-6.55
18250,-6.867
19000,-7.323
19500,-7.619
20000,-7.893

