# Source: AutoEq targets/JM-1 with Harman treble filter.csv (MIT)
frequency,magnitudeDB
20,-2.09
20.6,-2.09
21.2,-2.09
22,-2.08
22.7,-2.08
23.3,-2.08
24,-2.08
24.7,-2.08
25.4,-2.08
26.2,-2.08
26.9,-2.08
27.6,-2.08
28.5,-2.08
29.5,-2.08
30,-2.08
31.1,-2.07
32,-2.07
33,-2.07
34,-2.08
35,-2.08
36,-2.08
37,-2.08
38.2,-2.08
39.5,-2.08
40,-2.08
41.2,-2.08
42.5,-2.08
43.7,-2.08
45,-2.08
46.8,-2.08
48.2,-2.08
49.4,-2.09
50.8,-2.09
52.2,-2.09
53.8,-2.09
55.2,-2.09
57,-2.09
59,-2.09
60,-2.09
62.2,-2.08
64,-2.08
66,-2.07
68,-2.07
70,-2.06
72,-2.05
74,-2.03
76.2,-2.02
78.8,-2
80,-1.99
82.5,-1.96
85,-1.93
87.5,-1.91
90,-1.88
92.5,-1.84
96.2,-1.8
98.8,-1.76
101.5,-1.73
104.4,-1.69
107.5,-1.65
110.6,-1.61
113.8,-1.57
117.2,-1.54
120.6,-1.5
124.1,-1.46
128,-1.43
131.5,-1.4
136,-1.36
140,-1.34
143,-1.32
147.5,-1.29
152.5,-1.27
157.5,-1.24
160,-1.23
165,-1.21
170,-1.19
175,-1.17
180,-1.16
185,-1.14
192.5,-1.11
197.5,-1.1
203,-1.08
209,-1.06
214,-1.05
220,-1.03
227,-1.01
233,-0.98
240,-0.96
247,-0.94
254,-0.91
262,-0.89
272,-0.85
280,-0.82
290,-0.79
295,-0.77
304,-0.73
311,-0.7
320,-0.67
330,-0.63
340,-0.59
350,-0.55
360,-0.51
370,-0.47
382,-0.42
395,-0.37
406,-0.32
418,-0.27
431,-0.21
444,-0.14
455,-0.09
468,-0.03
482,0.04
494,0.1
508,0.17
530,0.27
545,0.34
560,0.41
580,0.5
590,0.54
608,0.61
622,0.67
640,0.73
660,0.8
680,0.86
700,0.92
720,0.97
740,1.02
762,1.08
788,1.13
812,1.18
838,1.23
862,1.28
885,1.33
912,1.39
938,1.45
962,1.52
988,1.6
1030,1.74
1060,1.85
1090,1.97
1120,2.1
1150,2.23
1180,2.36
1220,2.53
1250,2.67
1280,2.8
1320,2.98
1360,3.16
1400,3.34
1450,3.56
1500,3.78
1525,3.89
1575,4.12
1625,4.35
1675,4.59
1725,4.83
1775,5.08
1825,5.34
1875,5.61
1925,5.9
1975,6.19
2060,6.71
2120,7.07
2180,7.41
2240,7.74
2300,8.03
2360,8.29
2430,8.55
2500,8.78
2580,9
2650,9.17
2720,9.32
2800,9.49
2900,9.67
3000,9.82
3070,9.89
3150,9.93
3250,9.92
3350,9.85
3450,9.73
3550,9.56
3650,9.36
3750,9.13
3870,8.85
3950,8.65
4120,8.24
4250,7.93
4310,7.79
4440,7.5
4620,7.13
4750,6.9
4870,6.7
5000,6.5
5150,6.31
5300,6.14
5450,5.99
5600,5.87
5800,5.75
6000,5.66
6150,5.61
6300,5.58
6500,5.56
6700,5.56
6900,5.58
7100,5.6
7300,5.63
7500,5.64
7750,5.6
8000,5.48
8250,5.25
8380,5.1
8620,4.79
9000,4.22
9250,3.84
9500,3.45
9750,3.06
10000,2.68
10300,2.22
10600,1.77
10900,1.34
11200,0.93
11500,0.54
12060,-0.11
12200,-0.25
12650,-0.67
13150,-1.06
13400,-1.23
13800,-1.49
14300,-1.79
14500,-1.91
15000,-2.21
15500,-2.53
16000,-2.86
16500,-3.22
16750,-3.4
17250,-3.78
17750,-4.16
18250,-4.54
19000,-5.11
19500,-5.77
20000,-7.16

