# Source: AutoEq targets/711 5128 delta.csv (MIT)
frequency,magnitudeDB
20,-2.29
20.61,-2.22
21.23,-2.12
21.87,-2.01
22.54,-1.92
23.22,-1.83
23.92,-1.76
24.65,-1.68
25.39,-1.61
26.16,-1.55
26.96,-1.5
27.5,-1.48
28.33,-1.44
29.19,-1.41
30.08,-1.38
30.99,-1.35
31.93,-1.31
32.89,-1.27
33.89,-1.23
34.92,-1.18
35.97,-1.14
36.7,-1.12
37.81,-1.09
38.95,-1.07
40.14,-1.05
41.35,-1.04
42.6,-1.03
43.9,-1.04
45.23,-1.02
46.6,-0.98
48.01,-0.93
48.97,-0.91
50.46,-0.88
51.99,-0.85
53.56,-0.83
55.18,-0.81
56.86,-0.79
58.58,-0.78
60.35,-0.77
62.18,-0.75
64.07,-0.72
66.01,-0.69
67.33,-0.68
69.37,-0.65
71.48,-0.62
73.64,-0.59
75.87,-0.57
78.17,-0.56
80.54,-0.54
82.98,-0.53
85.5,-0.53
88.09,-0.54
89.86,-0.54
92.58,-0.53
95.39,-0.51
98.28,-0.48
101.25,-0.46
104.32,-0.44
107.48,-0.42
110.74,-0.41
114.1,-0.41
117.55,-0.4
119.92,-0.39
123.55,-0.39
127.29,-0.39
131.15,-0.4
135.12,-0.4
139.22,-0.4
143.44,-0.41
147.78,-0.43
152.26,-0.44
156.88,-0.45
160.03,-0.46
164.88,-0.47
169.87,-0.49
175.02,-0.5
180.32,-0.51
185.79,-0.51
191.42,-0.51
197.22,-0.51
203.19,-0.5
209.35,-0.49
215.69,-0.47
220.03,-0.44
226.7,-0.4
233.57,-0.35
240.64,-0.29
247.93,-0.22
255.45,-0.15
263.19,-0.07
271.16,0.01
279.38,0.09
287.84,0.18
293.63,0.24
302.53,0.33
311.69,0.42
321.14,0.51
330.87,0.61
340.9,0.7
351.23,0.79
361.87,0.88
372.83,0.96
384.13,1.01
391.85,1.03
403.72,1.04
415.96,1.02
428.56,0.97
441.55,0.92
454.93,0.86
468.71,0.8
482.91,0.75
497.55,0.7
512.62,0.64
522.93,0.6
538.77,0.54
555.1,0.5
571.92,0.45
589.25,0.4
607.1,0.36
625.5,0.32
644.45,0.29
663.98,0.26
684.1,0.23
704.83,0.2
718.99,0.18
740.78,0.15
763.23,0.11
786.35,0.06
810.18,0.01
834.73,-0.04
860.02,-0.09
886.08,-0.12
912.93,-0.14
940.59,-0.12
959.5,-0.09
988.57,-0.03
1018.53,0.07
1049.39,0.24
1081.19,0.46
1113.95,0.7
1147.7,0.95
1182.48,1.23
1218.31,1.52
1255.22,1.78
1280.45,1.94
1319.25,2.2
1359.23,2.44
1400.41,2.67
1442.85,2.89
1486.57,3.12
1531.61,3.35
1578.02,3.58
1625.84,3.84
1675.1,4.13
1708.77,4.33
1760.55,4.63
1813.9,4.96
1868.86,5.31
1925.49,5.7
1983.83,6.11
2043.94,6.54
2105.88,7
2169.69,7.48
2235.43,7.98
2303.17,8.5
2349.46,8.85
2420.65,9.37
2494,9.87
2569.57,10.35
2647.43,10.79
2727.65,11.16
2810.3,11.45
2895.46,11.64
2983.19,11.72
3073.58,11.69
3135.36,11.6
3230.37,11.4
3328.25,11.15
3429.1,10.86
3533.01,10.55
3640.06,10.21
3750.36,9.87
3864,9.51
3981.08,9.17
4101.71,8.86
4184.15,8.67
4310.94,8.44
4441.56,8.25
4576.15,8.1
4714.81,7.98
4857.67,7.84
5004.87,7.69
5156.52,7.51
5312.77,7.29
5473.75,6.99
5583.77,6.73
5752.96,6.27
5927.28,5.83
6106.89,5.41
6291.93,5.07
6482.58,4.75
6679.01,4.42
6881.39,4.08
7089.91,3.74
7304.74,3.38
7526.08,3.04
7677.35,2.82
7909.98,2.48
8149.67,2.16
8396.61,1.8
8651.03,1.42
8913.17,0.98
9183.25,0.47
9461.51,-0.09
9748.2,-0.68
10043.58,-1.29
10245.46,-1.7
10555.91,-2.36
10875.76,-3.07
11205.31,-3.84
11544.84,-4.62
11894.66,-5.39
12255.08,-6.17
12626.42,-7.06
13009.01,-8.21
13403.2,-9.6
13672.6,-10.76
14086.9,-12.68
14513.74,-14.61
14953.52,-16.36
15406.63,-17.95
15873.47,-19.44
16354.45,-20.88
16850.01,-22.35
17360.58,-23.96
17886.62,-25.77
18246.14,-27.1
18799.02,-29.27
19368.65,-31.6
19955.54,-33.47

